module_id,code,name,filtered_data
1,AAPI-087,First-year Seminar,AAPI87
4,AAS-010R,Intro/African-American Studies,AAS10R
10,AAS-170,Legacies of Research,AAS170
24,COSE-215,Decision and Risk Analysis,COSE215
31,COSE-230A,Quarterly Team Project,COSE230A
49,MAE-020,Elements of Materials Science,MAE20
50,MAE-003,Intro to Mechanical Design,MAE3
54,MAE-101A,Introductory Fluid Mechanics,MAE101A
56,MAE-101C,Heat Transfer,MAE101C
58,CENG-101A,Introductory Fluid Mechanics,CENG101A
62,MAE-105,Intro to Mathematical Physics,MAE105
65,MAE-011,Thermodynamics,MAE11
67,CENG-122,Separation Processes,CENG122
80,MAE-131A,Solid Mechanics I,MAE131A
83,SE-181,Geotechnical Engineering,SE181
93,SE-142,Mech/Design Composite Str,SE142
95,CENG-120,Chemical Process Dynmics&Cntrl,CENG120
101,MAE-142,Dynmcs&Control/Aerospace Vehic,MAE142
103,MAE-181,Space Mission Analysis/Design,MAE181
104,ECE-174,Intro/Linear&Nonlinear Optimiz,ECE174
110,MAE-191,Topics in Mech & Aero Lab,MAE191
135,CENG-100,Material and Energy Balances,CENG100
136,MAE-107,Computational Methods/Engineer,MAE107
139,MAE-156A,Fund. Prin./Mechanical Desgn I,MAE156A
140,MAE-156B,Fund. Prin/Mechanical Desgn II,MAE156B
142,MAE-150,Computational Methods/Design,MAE150
143,MAE-113,Fundamentals of Propulsion,MAE113
150,MAE-170,Experimental Techniques,MAE170
161,BENG-110,Musculoskeletal Biomechanics,BENG110
167,BENG-186A,Principles/Biomaterials Design,BENG186A
175,MAE-205,Graduate Seminar,MAE205
204,MAE-210A,Fluid Mechanics I,MAE210A
229,SE-201A,Advanced Structural Analysis,SE201A
234,MAE-232A,Finite Elemnt in Solid Mech I,MAE232A
239,MAE-233A,Fracture Mechanics,MAE233A
252,SE-213,Bridge Design,SE213
255,SE-212,Advanc/Structural Steel Design,SE212
263,CENG-252,Chemical Reaction Engineering,CENG252
284,BENG-230B,Cell and Molecular Biology,BENG230B
297,MAE-280A,Linear Systems Theory,MAE280A
299,BENG-281,Seminar in Bioengineering,BENG281
303,MAE-283A,Parametric Ident/Theory&Method,MAE283A
308,MAE-290A,Numerical Linear Algebra,MAE290A
313,MAE-294A,Intro to Applied Mathematics,MAE294A
318,MAE-299,Graduate Research,MAE299
329,ANAR-104,Intro GIS for Anth & Arch,ANAR104
337,ANAR-117,"Archaeology Field&Lab, SoCal",ANAR117
338,ANAR-120,Documenting Climate Change,ANAR120
352,ANAR-159,Societies/CaribbeanArchipelago,ANAR159
357,ANAR-166,Environmental Archaeology,ANAR166
363,ANBI-100,Special Topic/Biological Anth,ANBI100
370,ANBI-112,Methods in Human Neuroscience,ANBI112
374,ANBI-117,Ancient Genomics,ANBI117
386,ANBI-134,Human Evolutionary Genetics,ANBI134
389,ANBI-136,Human Comparative Neuroanatomy,ANBI136
445,ANAR-181,Archaeology/Hunters-Gatherers,ANAR181
481,ANAR-111,Foundations of Archaeology,ANAR111
484,ANSC-122,Language in Society,ANSC122
525,ANTH-212,Adv Topics in Biological Anthr,ANTH212
585,ANTH-280D,Core Sem/Anthro Archaeology,ANTH280D
603,ANTH-087,Freshman Seminar,ANTH87
604,ANTH-101,Foundations/Social Complexity,ANTH101
609,ANTH-196A,Honors Studies in Anthropology,ANTH196A
650,ANSC-142,Anthropology of Latin America,ANSC142
661,ANSC-104,The US-Mexico Border,ANSC104
684,ANSC-118,Language and Culture,ANSC118
692,ANSC-129,Meaning and Healing,ANSC129
707,ANSC-148,Global Health&Cultrl Diversity,ANSC148
713,ANSC-152,Social Justice in South Asia,ANSC152
726,ANSC-169,Culture & Envr/Resrch Sem/Prac,ANSC169
729,ANSC-173,Ethnography in Practice,ANSC173
757,ANTH-004,Intro to Linguistic Anthro,ANTH4
760,ANTH-002,Human Origins,ANTH2
761,ANTH-010,Climate Justice,ANTH10
770,ANTH-021,Race and Racisms,ANTH21
771,ANTH-001,Introduction to Culture,ANTH1
772,ANTH-023,Debating Multiculturalism,ANTH23
780,ANTH-030,Decolonizing the Body,ANTH30
785,ANTH-043,Intro/Bio & Culture of Race,ANTH43
799,ANTH-105,"Climate Change, Race,& Inequal",ANTH105
800,ANSC-124,Cultural Anthropology,ANSC124
802,ANSC-121,Psychological Anthropology,ANSC121
803,ANTH-107,"Dsgn:Disasters,Emerg,Weather",ANTH107
805,ANTH-108,"IndigPpls, Develop,& ClimChng",ANTH108
916,ANTH-203,Introduction to Anthropogeny,ANTH203
950,ANTH-230,Department Colloquium,ANTH230
971,ANTH-241,Ling Anth Workshop,ANTH241
1013,ANTH-273,Colloquium in Science Studies,ANTH273
1019,ANTH-278,Anthropological Methods,ANTH278
1021,ANTH-280A,Core Seminar in Social Anthro,ANTH280A
1024,ANTH-281A,Proseminar,ANTH281A
1029,ANTH-285,Grants Writing Practicum,ANTH285
1033,ANTH-295,Master's Thesis Preparation,ANTH295
1034,ANTH-296,Dissertation Fieldwork Prep,ANTH296
1039,ANTH-299,Dissertation Research,ANTH299
1040,ANTH-500,Apprentice Teaching,ANTH500
1067,ASTR-001,Stars and Black Holes,ASTR1
1073,ASTR-018,Topics in Classical Physics,ASTR18
1074,ASTR-020A,Intro to Astrophysics I,ASTR20A
1078,ASTR-065,Astronomy of Climate Change,ASTR65
1082,ASTR-101,Astrophysical Dynamics,ASTR101
1085,ASTR-104,Thermal Astrophysics,ASTR104
1090,ASTR-122,Physical Cosmology,ASTR122
1095,ASTR-150,Observational Optical Lab,ASTR150
1106,ASTR-215,Stellar Remnants,ASTR215
1109,ASTR-250,Astro Colloquium,ASTR250
1110,ASTR-251,Astro Journal Club,ASTR251
1116,ASTR-500,Astronomical Teaching Training,ASTR500
1117,AUD-236,Preceptorship in Neuro-Otology,AUD236
1120,AUD-257,Ear Diseases & Treatment,AUD257
1122,AUD-263,Phys & Behav Tests Vest Func,AUD263
1128,AUD-274,Adv Techn Aspects/Hearing Ampl,AUD274
1132,AUD-284,Clin Practice in Audiology II,AUD284
1133,AUD-291,Clinical Case Studies/Staffing,AUD291
1134,AUD-296,Research Practicum,AUD296
1135,AUD-298,Independent Research,AUD298
1136,AUD-299,Doctoral Project,AUD299
1137,AWP-003,Analytical Writing,AWP3
1139,AWP-004B,Analytical Writing B,AWP4B
1148,BENG-001,Introduction to Bioengineering,BENG1
1149,BENG-002,Intro Computer Prog & MATLAB,BENG2
1159,BENG-100,Intro to Prob & Stats for BENG,BENG100
1171,BENG-122A,Biosystems and Control,BENG122A
1183,BENG-133,Numerical Analys-Computatn Eng,BENG133
1185,BENG-135,Biomedical Signals & Systems,BENG135
1190,BENG-141,Biomedical Optics and Imaging,BENG141
1197,BENG-152,BioSystems Engineering Lab,BENG152
1202,BENG-161A,Bioreactor Engineering,BENG161A
1205,BENG-162,Biotechnology Laboratory,BENG162
1207,BENG-166A,Cell and Tissue Engineering,BENG166A
1209,BENG-168,Biomolecular Engineering,BENG168
1217,BENG-183,Applied Genomic Technologies,BENG183
1220,BENG-187B,BENG Design Project:Developmnt,BENG187B
1223,BENG-188A,Design Development in BENG,BENG188A
1231,BENG-195P,PLA Teaching,BENG195P
1232,BENG-196,Bioeng Industrial Internship,BENG196
1233,BENG-197,Engineering Internship,BENG197
1235,BENG-199,Independent Study/Undergrads,BENG199
1239,BENG-207,Topics in Bioengineering,BENG207
1245,BENG-216,NeuroIntegrated Bioelectronics,BENG216
1246,BENG-219,Data Sci Multiscale Biology,BENG219
1248,BENG-221,Mathematical Methods/Bioeng,BENG221
1253,BENG-226,Foundations of Bioeng I,BENG226
1254,BENG-230A,Biochemistry,BENG230A
1261,BENG-241A,Tissue Eng/Regenerat Med:Fndtn,BENG241A
1265,BENG-242,PolymerScience&Engineering,BENG242
1266,BENG-247A,Advanced BioPhotonics,BENG247A
1269,BENG-254,Synthetic Biology,BENG254
1276,BENG-280A,Principles/Biomedical Imaging,BENG280A
1279,BENG-282,Seminar: Faculty Research,BENG282
1285,BENG-294A,Patient-Cent Clinical Medicine,BENG294A
1288,BENG-295,BENG Design Proj & Industr Trn,BENG295
1292,BENG-299,Graduate Research,BENG299
1294,BENG-501,Teaching Experience,BENG501
1297,BGGN-202,Prof Develop for Biologists,BGGN202
1300,BGGN-206A,Concepts/Reasoning/Exprmt I,BGGN206A
1302,BGGN-207,Scientific Ethics,BGGN207
1303,BGGN-208,Biologicl Scien/Grad Boot Camp,BGGN208
1308,BGGN-213,Foundations of Bioinformatics,BGGN213
1334,BGGN-245,Adv Topics/Cancer Res&Therapy,BGGN245
1339,BGGN-249A,Molecular&CellularNeuroscience,BGGN249A
1366,BGGN-275,Lab Methodology,BGGN275
1367,BGGN-276,Lab Analysis,BGGN276
